,gdp,city,state
347,217396.5,Bloomington,MN-WI
348,4583.5,Missoula,MT
349,17560.5,Mobile,AL
350,16853.5,Modesto,CA
351,6568.5,Monroe,LA
352,4460.5,Monroe,MI
353,15824,Montgomery,AL
354,6592,Morgantown,WV
355,3678.5,Morristown,TN
356,5378,Mount Vernon,WA
357,5378,Anacortes,WA
358,3660.5,Muncie,IN
359,5181.5,Muskegon,MI
360,14337.5,Myrtle Beach,SC-NC
361,14337.5,Conway,SC-NC
362,14337.5,North Myrtle Beach,SC-NC
363,8558,Napa,CA
364,13794.5,Naples,FL
365,13794.5,Immokalee,FL
366,13794.5,Marco Island,FL
367,98731,Nashville,TN
368,98731,Davidson,TN
369,98731,,TN
370,98731,Murfreesboro,TN
371,98731,,TN
372,98731,Franklin,TN
373,4695.5,New Bern,NC
374,40566,New Haven,CT
375,40566,Milford,CT
376,75112,New Orleans,LA
377,75112,Metairie,LA
378,1458138,New York,NY-NJ-PA
379,1458138,Newark,NY-NJ-PA
380,1458138,Jersey City,NY-NJ-PA
381,6017.5,Niles,MI
382,6017.5,Benton Harbor,MI
383,24082,North Port,FL
384,24082,Sarasota,FL
385,24082,Bradenton,FL
386,14513,Norwich,CT
387,14513,New London,CT
388,7115.5,Ocala,FL
389,4568.5,Ocean City,NJ
390,10558,Odessa,TX
391,21273.5,Ogden,UT
392,21273.5,Clearfield,UT
393,65524.5,Oklahoma City,OK
394,9840,Olympia,WA
395,9840,Tumwater,WA
396,53048,Omaha,NE-IA
397,53048,Council Bluffs,NE-IA
398,109392,Orlando,FL
399,109392,Kissimmee,FL
400,109392,Sanford,FL
401,8994,Oshkosh,WI
402,8994,Neenah,WI
403,5074,Owensboro,KY
404,46643.5,Oxnard,CA
405,46643.5,Thousand Oaks,CA
406,46643.5,Ventura,CA
407,17980.5,Palm Bay,FL
408,17980.5,Melbourne,FL
409,17980.5,Titusville,FL
410,7286.5,Panama City,FL
411,3850,Parkersburg,WV
412,3850,Vienna,WV
413,15500.5,Pensacola,FL
414,15500.5,Ferry Pass,FL
415,15500.5,Brent,FL
416,21088,Peoria,IL
417,379919.5,Philadelphia,PA-NJ-DE-MD
418,379919.5,Camden,PA-NJ-DE-MD
419,379919.5,Wilmington,PA-NJ-DE-MD
420,197750.5,Phoenix,AZ
421,197750.5,Mesa,AZ
422,197750.5,Scottsdale,AZ
423,3188.5,Pine Bluff,AR
424,124631.5,Pittsburgh,PA
425,6169.5,Pittsfield,MA
426,2510,Pocatello,ID
427,26891,Portland,ME
428,26891,South Portland,ME
429,143840.5,Portland,OR-WA
430,143840.5,Vancouver,OR-WA
431,143840.5,Hillsboro,OR-WA
432,11564,Port St. Lucie,FL
433,5028.5,Prescott,AZ
434,71690,Providence,RI-MA
435,71690,Warwick,RI-MA
436,17413.5,Provo,UT
437,17413.5,Orem,UT
438,4435,Pueblo,CO
439,3372,Punta Gorda,FL
440,7587.5,Racine,WI
441,63574.5,Raleigh,NC
442,5885,Rapid City,SD
443,16312.5,Reading,PA
444,5171.5,Redding,CA
445,20142.5,Reno,NV
