U.S. metropolitan areas,2012,2013,avg
"Madera, CA",4 603,4 896,"4749,5"
"Madison, WI",38 949,40 558,"39753,5"
"Manchester-Nashua, NH",22 678,23 504,23091
"Manhattan, KS",3 221,3 205,3213
"Mankato-North Mankato, MN",4 528,4 738,4633
"Mansfield, OH",3 997,4 120,"4058,5"
"McAllen-Edinburg-Mission, TX",16 828,17 593,"17210,5"
"Medford, OR",6 532,6 842,6687
"Memphis, TN-MS-AR",65 186,65 875,"65530,5"
"Merced, CA",6 971,7 691,7331
"Miami-Fort Lauderdale-West Palm Beach, FL",266 563,268 198,"267380,5"
"Michigan City-La Porte, IN",3 839,3 922,"3880,5"
"Midland, MI",4 045,4 083,4064
"Midland, TX",29 991,33 428,"31709,5"
"Milwaukee-Waukesha-West Allis, WI",93 915,96 994,"95454,5"
"Minneapolis-St. Paul-Bloomington, MN-WI",213 855,220 938,"217396,5"
"Missoula, MT",4 570,4 597,"4583,5"
"Mobile, AL",17 568,17 553,"17560,5"
"Modesto, CA",16 518,17 189,"16853,5"
"Monroe, LA",6 444,6 693,"6568,5"
"Monroe, MI",4 394,4 527,"4460,5"
"Montgomery, AL",15 653,15 995,15824
"Morgantown, WV",6 426,6 758,6592
"Morristown, TN",3 643,3 714,"3678,5"
"Mount Vernon-Anacortes, WA",5 239,5 517,5378
"Muncie, IN",3 648,3 673,"3660,5"
"Muskegon, MI",5 106,5 257,"5181,5"
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",14 017,14 658,"14337,5"
"Napa, CA",8 294,8 822,8558
"Naples-Immokalee-Marco Island, FL",13 612,13 977,"13794,5"
"Nashville-Davidson--Murfreesboro--Franklin, TN",96 274,101 188,98731
"New Bern, NC",4 668,4 723,"4695,5"
"New Haven-Milford, CT",40 236,40 896,40566
"New Orleans-Metairie, LA",77 413,72 811,75112
"New York-Newark-Jersey City, NY-NJ-PA",1 439 233,1 477 043,1458138
"Niles-Benton Harbor, MI",5 854,6 181,"6017,5"
"North Port-Sarasota-Bradenton, FL",23 688,24 476,24082
"Norwich-New London, CT",14 561,14 465,14513
"Ocala, FL",7 166,7 065,"7115,5"
"Ocean City, NJ",4 389,4 748,"4568,5"
"Odessa, TX",10 010,11 106,10558
"Ogden-Clearfield, UT",20 900,21 647,"21273,5"
"Oklahoma City, OK",63 356,67 693,"65524,5"
"Olympia-Tumwater, WA",9 675,10 005,9840
"Omaha-Council Bluffs, NE-IA",52 465,53 631,53048
"Orlando-Kissimmee-Sanford, FL",103 535,115 249,109392
"Oshkosh-Neenah, WI",8 981,9 007,8994
"Owensboro, KY",4 908,5 240,5074
"Oxnard-Thousand Oaks-Ventura, CA",45 650,47 637,"46643,5"
"Palm Bay-Melbourne-Titusville, FL",17 767,18 194,"17980,5"
"Panama City, FL",6 968,7 605,"7286,5"
"Parkersburg-Vienna, WV",3 802,3 898,3850
"Pensacola-Ferry Pass-Brent, FL",15 157,15 844,"15500,5"
"Peoria, IL",22 408,19 768,21088
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",370 052,389 787,"379919,5"
"Phoenix-Mesa-Scottsdale, AZ",195 630,199 871,"197750,5"
"Pine Bluff, AR",3 204,3 173,"3188,5"
"Pittsburgh, PA",122 439,126 824,"124631,5"
"Pittsfield, MA",6 143,6 196,"6169,5"
"Pocatello, ID",2 566,2 454,2510
"Portland-South Portland, ME",26 662,27 120,26891
"Portland-Vancouver-Hillsboro, OR-WA",144 551,143 130,"143840,5"
"Port St. Lucie, FL",11 509,11 619,11564
"Prescott, AZ",5 033,5 024,"5028,5"
"Providence-Warwick, RI-MA",71 042,72 338,71690
